source,config,powerline_hz,artifact,target_snr_db,actual_input_snr_db,output_snr_db,snr_improvement_db,rmse_mv,heart_rate_bpm,sqi,tp,fp,fn,precision,recall,f1,mean_abs_timing_error_ms,bias_timing_error_ms
synthetic,aggressive,60.0,baseline,5,4.999999999999709,6.300232432974811,1.3002324329751023,0.10524221331801774,71.97290431837428,0.8953253152384371,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,60.0,motion,5,4.99999999999971,3.5804087402968325,-1.419591259702877,0.14393988708428765,71.97290431837428,0.8692893829173084,35,0,0,1.0,1.0,1.0,0.22857142857142856,0.0
synthetic,aggressive,60.0,motion,5,4.99999999999971,4.092345838863472,-0.9076541611362376,0.13570139204342307,71.97290431837428,0.8749156548941286,35,0,0,1.0,1.0,1.0,0.45714285714285713,-0.45714285714285713
synthetic,balanced,60.0,impulse,5,4.999999999999709,5.244770086978203,0.24477008697849456,0.11884012237079704,71.97290431837428,0.8174196966070311,35,0,0,1.0,1.0,1.0,1.1428571428571428,-0.22857142857142856
synthetic,aggressive,60.0,impulse,5,4.999999999999709,5.467546226693162,0.4675462266934529,0.11583086067117969,71.97290431837428,0.8483506341898321,35,0,0,1.0,1.0,1.0,0.8,-0.11428571428571428
synthetic,balanced,60.0,all,10,9.99999999999908,5.413243530229126,-4.586756469769954,0.11655728377192276,71.97290431837428,0.8909072021544971,35,0,0,1.0,1.0,1.0,0.11428571428571428,0.11428571428571428
synthetic,aggressive,60.0,all,10,9.99999999999908,5.58412870624519,-4.41587129375389,0.1142865596370247,71.97290431837428,0.8927766102067689,35,0,0,1.0,1.0,1.0,0.11428571428571428,0.11428571428571428
synthetic,balanced,60.0,baseline,10,9.99999999999908,6.361420277683503,-3.638579722315577,0.10450343860181525,71.97290431837428,0.896656622747146,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,60.0,baseline,10,9.99999999999908,6.300285615687096,-3.699714384311984,0.10524156893391327,71.97290431837428,0.8951500811405538,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,60.0,motion,10,9.99999999999908,5.13456958398569,-4.86543041601339,0.12035748815081516,71.97290431837428,0.8867812776681154,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,60.0,motion,10,9.99999999999908,5.426046553591307,-4.5739534464077725,0.11638560459879493,71.97290431837428,0.8893964882584788,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,60.0,impulse,10,9.999999999999082,6.127123192703473,-3.872876807295609,0.10736072486291993,71.97290431837428,0.8816291472676829,35,0,0,1.0,1.0,1.0,0.34285714285714286,-0.34285714285714286
synthetic,aggressive,60.0,impulse,10,9.999999999999082,6.1295886294718605,-3.870411370527221,0.10733025550080898,71.97290431837428,0.8900521496212802,35,0,0,1.0,1.0,1.0,0.5714285714285714,-0.34285714285714286
synthetic,balanced,60.0,all,20,19.999999999990806,6.274675976198577,-13.72532402379223,0.10555232303590753,71.97290431837428,0.897037435108107,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,aggressive,60.0,all,20,19.999999999990806,6.235960013280042,-13.764039986710763,0.10602385573266632,71.97290431837428,0.8959885269575,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,60.0,baseline,20,19.999999999990806,6.359808143449658,-13.640191856541147,0.10452283663858308,71.97290431837428,0.896661829072052,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,60.0,baseline,20,19.999999999990806,6.30016270176152,-13.699837298229285,0.10524305821669684,71.97290431837428,0.8951482613695634,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,60.0,motion,20,19.99999999999081,6.219719959636708,-13.7802800403541,0.10622227452915904,71.97290431837428,0.8977675582206592,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,60.0,motion,20,19.99999999999081,6.188806139884121,-13.811193860106687,0.1066010021981222,71.97290431837428,0.8969930566952569,35,0,0,1.0,1.0,1.0,0.34285714285714286,-0.34285714285714286
synthetic,balanced,60.0,impulse,20,19.99999999999081,6.340772721278464,-13.659227278712345,0.10475215317105721,71.97290431837428,0.8963148628195499,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,60.0,impulse,20,19.99999999999081,6.286311424575918,-13.713688575414892,0.10541102186559978,71.97290431837428,0.8959967131822255,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
